quarter_hour,spatial_location,traffic_volume
0,0,0.407589911
0,1,0.570037366
0,2,0.245983185
0,3,0.26202709
0,4,0.187893508
0,5,0.165464736
0,6,0.171541336
0,7,0.257772069
0,8,0.597575899
0,9,0.632970574
0,10,0.641172349
0,11,0.49209248
0,12,0.590298926
0,13,0.612919197
0,14,0.719532929
0,15,0.187538533
0,16,0.172610929
0,17,0.182699673
0,18,0.168794956
0,19,0.229925269
0,20,0.206567025
0,21,0.262414759
0,22,0.180532461
0,23,0.138724895
0,24,0.081251752
0,25,0.56411957
0,26,0.234007473
0,27,0.19516581
0,28,0.221639421
0,29,0.564217655
0,30,0.180882765
0,31,0.163914059
0,32,0.039845866
0,33,0.119967305
0,34,0.165016348
0,35,0.520780009
1,0,0.417141523
1,1,0.613633816
1,2,0.276716488
1,3,0.295721625
1,4,0.280228865
1,5,0.180583839
1,6,0.262106492
1,7,0.317561887
1,8,0.588346567
1,9,0.648533396
1,10,0.611597384
1,11,0.492246614
1,12,0.540028024
1,13,0.57274638
1,14,0.737085474
1,15,0.201060252
1,16,0.195964503
1,17,0.200233536
1,18,0.195287249
1,19,0.246833255
1,20,0.239234003
1,21,0.29666978
1,22,0.207295656
1,23,0.178851004
1,24,0.098935077
1,25,0.684138253
1,26,0.281158337
1,27,0.240518449
1,28,0.229747781
1,29,0.704689397
1,30,0.190826716
1,31,0.183900047
1,32,0.070751985
1,33,0.128211116
1,34,0.196006539
1,35,0.698014946
2,0,0.374997665
2,1,0.604810836
2,2,0.325123774
2,3,0.369290051
2,4,0.329780476
2,5,0.268659505
2,6,0.321588043
2,7,0.275782345
2,8,0.569392807
2,9,0.685936478
2,10,0.573970107
2,11,0.485156469
2,12,0.613685194
2,13,0.547505838
2,14,0.721382532
2,15,0.23516581
2,16,0.208201775
2,17,0.228734236
2,18,0.212139187
2,19,0.276814573
2,20,0.258304531
2,21,0.304792153
2,22,0.275114433
2,23,0.198486688
2,24,0.116959365
2,25,0.550663241
2,26,0.308813638
2,27,0.287538533
2,28,0.252671649
2,29,0.73052312
2,30,0.19640822
2,31,0.192741709
2,32,0.073820645
2,33,0.16366184
2,34,0.196127978
2,35,0.727566558
3,0,0.332297992
3,1,0.59353106
3,2,0.27725362
3,3,0.300812704
3,4,0.308902382
3,5,0.271611397
3,6,0.312489491
3,7,0.351910322
3,8,0.553895376
3,9,0.590471742
3,10,0.613218122
3,11,0.479037833
3,12,0.560593181
3,13,0.608524054
3,14,0.687435778
3,15,0.276987389
3,16,0.26836525
3,17,0.271120972
3,18,0.285506773
3,19,0.335235871
3,20,0.314460532
3,21,0.359495563
3,22,0.288150397
3,23,0.279943951
3,24,0.178028958
3,25,0.860616534
3,26,0.272568893
3,27,0.227080803
3,28,0.229327417
3,29,0.634161607
3,30,0.266193368
3,31,0.248963101
3,32,0.073685194
3,33,0.183390939
3,34,0.246842597
3,35,0.632293321
4,0,0.353115367
4,1,0.627753386
4,2,0.3232695
4,3,0.337230266
4,4,0.430574498
4,5,0.310322279
4,6,0.403372256
4,7,0.367940215
4,8,0.554297057
4,9,0.693045306
4,10,0.619906586
4,11,0.504670715
4,12,0.589799159
4,13,0.598566091
4,14,0.712498832
4,15,0.276160673
4,16,0.268580103
4,17,0.275436712
4,18,0.271433909
4,19,0.380415694
4,20,0.344880897
4,21,0.411639421
4,22,0.321900981
4,23,0.296936011
4,24,0.181536665
4,25,0.838337226
4,26,0.279131247
4,27,0.241574031
4,28,0.248117702
4,29,0.757683326
4,30,0.28627744
4,31,0.280163475
4,32,0.083040635
4,33,0.214712751
4,34,0.28366184
4,35,0.751602055
5,0,0.342069127
5,1,0.628608127
5,2,0.337020084
5,3,0.347435778
5,4,0.448879028
5,5,0.415049043
5,6,0.458995796
5,7,0.389299393
5,8,0.561102289
5,9,0.602526857
5,10,0.625114433
5,11,0.514273704
5,12,0.538893041
5,13,0.63581504
5,14,0.686244745
5,15,0.283320878
5,16,0.310322279
5,17,0.342307333
5,18,0.335474078
5,19,0.441228398
5,20,0.394348435
5,21,0.437832788
5,22,0.327949556
5,23,0.288257823
5,24,0.20287716
5,25,0.87627277
5,26,0.277001401
5,27,0.256478281
5,28,0.26248482
5,29,0.604852872
5,30,0.348790285
5,31,0.331060252
5,32,0.09489958
5,33,0.228598786
5,34,0.334189631
5,35,0.535763662
6,0,0.349729099
6,1,0.675931808
6,2,0.364750117
6,3,0.387786081
6,4,0.428696871
6,5,0.434731434
6,6,0.503166745
6,7,0.389677721
6,8,0.556562354
6,9,0.595072396
6,10,0.619154601
6,11,0.520448389
6,12,0.609000467
6,13,0.639766464
6,14,0.712601588
6,15,0.286431574
6,16,0.340233536
6,17,0.35124241
6,18,0.360308267
6,19,0.437977581
6,20,0.436170014
6,21,0.431064923
6,22,0.319406819
6,23,0.319481551
6,24,0.214736105
6,25,0.821695469
6,26,0.28673517
6,27,0.275002335
6,28,0.279089211
6,29,0.53634283
6,30,0.37601121
6,31,0.35503503
6,32,0.105716955
6,33,0.252078468
6,34,0.36581971
6,35,0.544908921
7,0,0.38568893
7,1,0.500948155
7,2,0.363316207
7,3,0.466964035
7,4,0.416623073
7,5,0.419336759
7,6,0.502554881
7,7,0.397286315
7,8,0.607403083
7,9,0.624974311
7,10,0.645572163
7,11,0.530924801
7,12,0.634675385
7,13,0.646749183
7,14,0.751452592
7,15,0.261270434
7,16,0.326053246
7,17,0.342867819
7,18,0.348201775
7,19,0.444147595
7,20,0.430532461
7,21,0.469799159
7,22,0.320780009
7,23,0.32183092
7,24,0.184731434
7,25,0.835287249
7,26,0.315352639
7,27,0.292335357
7,28,0.249121906
7,29,0.60398412
7,30,0.332900514
7,31,0.303213452
7,32,0.093937412
7,33,0.180284914
7,34,0.31699206
7,35,0.565740308
8,0,0.414007473
8,1,0.517702008
8,2,0.347916861
8,3,0.509005138
8,4,0.43058851
8,5,0.396001868
8,6,0.497403083
8,7,0.419990659
8,8,0.613573097
8,9,0.625609528
8,10,0.678383933
8,11,0.530158804
8,12,0.632839794
8,13,0.671704811
8,14,0.743689865
8,15,0.261564689
8,16,0.330663241
8,17,0.36450724
8,18,0.368617468
8,19,0.462330687
8,20,0.431578702
8,21,0.482330687
8,22,0.324988323
8,23,0.329224661
8,24,0.1926156
8,25,0.834624007
8,26,0.291349837
8,27,0.323049977
8,28,0.245380663
8,29,0.582909855
8,30,0.354497898
8,31,0.315198505
8,32,0.100859411
8,33,0.22810369
8,34,0.348533396
8,35,0.567814106
9,0,0.428304531
9,1,0.519159271
9,2,0.381139654
9,3,0.554483886
9,4,0.516884633
9,5,0.377687996
9,6,0.470934143
9,7,0.442129846
9,8,0.602368052
9,9,0.624974311
9,10,0.682793087
9,11,0.532283979
9,12,0.609098552
9,13,0.663965437
9,14,0.742741709
9,15,0.271298459
9,16,0.349906586
9,17,0.365446053
9,18,0.373194769
9,19,0.474138253
9,20,0.455025689
9,21,0.541223727
9,22,0.334255021
9,23,0.322933209
9,24,0.205432041
9,25,0.831807567
9,26,0.294796824
9,27,0.319915927
9,28,0.24176553
9,29,0.591036899
9,30,0.370191499
9,31,0.342428772
9,32,0.103493695
9,33,0.248752919
9,34,0.343615133
9,35,0.582260626
10,0,0.414656702
10,1,0.51660439
